Date,Open,High,Low,Close,Volume,per,pbr,nasdaq_ma5,nasdaq_ma20
2021-01-04,133.52,133.61,126.76,129.41,143300000.00,33.6,31.6,12841.27,12661.80
2021-01-05,128.89,131.74,128.43,131.01,97670000.00,33.6,31.6,12825.18,12679.53
2021-01-06,127.72,131.05,126.38,126.60,155090000.00,33.6,31.6,12803.30,12690.57
2021-01-07,128.36,131.63,127.86,130.92,109580000.00,33.6,31.6,12842.79,12714.81
2021-01-08,132.43,132.63,130.23,132.05,105160000.00,33.6,31.6,12905.53,12757.96
2021-01-11,129.19,130.17,128.50,128.98,100620000.00,33.6,31.6,12973.13,12789.49
2021-01-12,128.50,129.69,126.86,128.80,91950000.00,33.6,31.6,13023.82,12824.22
2021-01-13,128.76,131.45,128.49,130.89,88640000.00,33.6,31.6,13101.45,12858.67
2021-01-14,130.80,131.00,128.76,128.91,90220000.00,33.6,31.6,13110.48,12884.54
2021-01-15,128.78,130.22,127.00,127.14,111600000.00,33.6,31.6,13069.79,12901.56
2021-01-19,127.78,128.71,126.94,127.83,90760000.00,33.6,31.6,13101.94,12923.18
2021-01-20,128.66,132.49,128.55,132.03,104320000.00,33.6,31.6,13178.90,12958.26
2021-01-21,133.80,139.67,133.59,136.87,120530000.00,33.6,31.6,13259.30,12997.68
2021-01-22,136.28,139.85,135.02,139.07,114460000.00,33.6,31.6,13345.38,13034.44
2021-01-25,143.07,145.09,136.54,142.92,157610000.00,33.6,31.6,13472.88,13077.68
2021-01-26,143.60,144.30,141.37,143.16,98390000.00,33.6,31.6,13558.66,13118.75
2021-01-27,143.43,144.30,140.41,142.06,140840000.00,33.6,31.6,13521.33,13137.31
2021-01-28,139.52,141.99,136.70,137.09,142620000.00,33.6,31.6,13482.58,13161.66
2021-01-29,135.83,136.74,130.21,131.96,177520000.00,33.6,31.6,13388.10,13171.69
2021-02-01,133.75,135.38,130.93,134.14,106240000.00,33.6,31.6,13341.58,13197.45
2021-02-02,135.73,136.31,134.61,134.99,83310000.00,33.6,31.6,13338.93,13243.16
2021-02-03,135.76,135.77,133.61,133.94,89880000.00,33.6,31.6,13406.91,13282.74
2021-02-04,136.30,137.40,134.59,137.39,84180000.00,33.6,31.6,13495.03,13334.59
2021-02-05,137.35,137.42,135.86,136.76,75690000.00,33.6,31.6,13652.15,13374.03
2021-02-08,136.03,136.96,134.92,136.91,71300000.00,33.6,31.6,13769.00,13413.31
2021-02-09,136.62,137.88,135.85,136.01,76770000.00,33.6,31.6,13847.98,13461.88
2021-02-10,136.48,136.99,134.40,135.39,73050000.00,33.6,31.6,13920.38,13506.88
2021-02-11,135.90,136.39,133.77,135.13,64280000.00,33.6,31.6,13969.99,13551.72
2021-02-12,134.35,135.53,133.69,135.37,60150000.00,33.6,31.6,14017.82,13600.86
2021-02-16,135.49,136.01,132.79,133.19,80580000.00,33.6,31.6,14029.79,13653.31
2021-02-17,131.25,132.22,129.47,130.84,98090000.00,33.6,31.6,14021.35,13691.73
2021-02-18,129.20,129.99,127.41,129.71,96860000.00,33.6,31.6,13999.92,13712.14
2021-02-19,130.24,130.71,128.80,129.87,87670000.00,33.6,31.6,13969.66,13729.31
2021-02-22,128.01,129.72,125.60,126.00,103920000.00,33.6,31.6,13857.17,13728.81
2021-02-23,123.76,126.71,118.39,125.86,158270000.00,33.6,31.6,13740.71,13720.27
2021-02-24,124.94,125.56,122.23,125.35,111040000.00,33.6,31.6,13667.21,13718.87
2021-02-25,124.68,126.46,120.54,120.99,148200000.00,33.6,31.6,13518.02,13711.31
2021-02-26,122.59,124.85,121.20,121.26,164560000.00,33.6,31.6,13381.60,13704.07
2021-03-01,123.75,127.93,122.79,127.79,116310000.00,33.6,31.6,13392.75,13729.98
2021-03-02,128.41,128.72,125.01,125.12,102260000.00,33.6,31.6,13371.47,13727.75
2021-03-03,124.81,125.71,121.84,122.06,112970000.00,33.6,31.6,13251.43,13696.99
2021-03-04,121.75,123.60,118.62,120.13,178160000.00,33.6,31.6,13172.24,13652.64
2021-03-05,120.98,121.93,117.57,121.42,153770000.00,33.6,31.6,13117.80,13609.76
2021-03-08,120.93,121.00,116.21,116.36,154380000.00,33.6,31.6,12921.86,13547.40
2021-03-09,119.03,122.06,118.79,121.08,129530000.00,33.6,31.6,12864.87,13501.71
2021-03-10,121.69,122.17,119.45,119.98,111940000.00,33.6,31.6,12879.09,13454.77
2021-03-11,122.54,123.21,121.26,121.96,103030000.00,33.6,31.6,13014.13,13426.08
2021-03-12,120.40,121.17,119.16,121.03,88110000.00,33.6,31.6,13094.07,13390.78
2021-03-15,121.40,124.00,120.42,123.99,92590000.00,33.6,31.6,13264.18,13358.99
2021-03-16,125.67,127.19,124.75,125.57,115230000.00,33.6,31.6,13343.73,13330.20
2021-03-17,124.03,125.84,122.35,124.76,111930000.00,33.6,31.6,13435.00,13308.18
